,account,impressions,avg_cpc,ctr,conv_rate,ad_group,headline_1,headline_2,headline_3,description_line_1,description_line_2
252,568-744-5298,225,2.89,0.12,3.70%,Aston Martin Brand,All New Aston Martin DB11,"Lease For $1,999",Aston Martin Newport Beach,"Lease a new Aston Martin DB11 Volante for $1,999 a month from Aston Martin Newport Beach.",Home to one of the most exclusive collections of new Aston Martins in the world.
255,568-744-5298,560,1.73,0.116,0.00%,Aston Martin Brand,All New Aston Martin DB11,"Lease For $1,499",Aston Martin Newport Beach,"Lease an all new 2019 DB11 Coupe for $1,499 a month from Aston Martin Newport Beach.",Home to one of the most exclusive collections of new Aston Martins in the world.
250,568-744-5298,366,2.6,0.087,0.00%,Aston Martin Brand,Aston Martin DBS Superleggera,View Photos & Details,Aston Martin Newport Beach,Lease an all new Aston Martin DBS Superleggera from Aston Martin Newport Beach,Home to one of the most exclusive collections of new Aston Martins in the world.
244,568-744-5298,810,1.73,0.079,1.56%,Aston Martin Brand,All New Aston Martin DB11,"Lease For $1,899",Aston Martin Newport Beach,"Lease an all new Aston Martin DB11 for $1,899 a month from Aston Martin Newport Beach.",Home to one of the most exclusive collections of new Aston Martins in the world.
436,568-744-5298,293,2.74,0.078,0.00%,Vantage,2019 Aston Martin Vantage,"Lease A Vantage for $1,299",Aston Martin Newport Beach,"Lease a 2019 Vantage Coupe for $1,299 a month from Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
420,568-744-5298,1146,2.15,0.078,0.00%,Aston Martin Brand (newportbeach.astonmartininventory.com),The New Aston Martin Vantage,"Lease For $1,299",Aston Martin Newport Beach,"Lease an all new Aston Martin Vantage for $1,299 a month from Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
427,568-744-5298,218,2.62,0.073,0.00%,Aston Martin Brand (newportbeach.astonmartininventory.com),All New Aston Martin DB11,"Lease For $1,899",Aston Martin Newport Beach,"Lease an all new Aston Martin DB11 for $1,899 a month from Aston Martin Newport Beach.",Home to one of the most exclusive collections of new Aston Martins in the world.
306,568-744-5298,330,2.39,0.073,0.00%,Aston Martin Brand,The New Aston Martin Vantage,"Lease For $1,299",Aston Martin Newport Beach,"Lease an all new Aston Martin Vantage for $1,299 from Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
377,568-744-5298,480,1.89,0.073,0.00%,Lamborghini (newportbeach.astonmartininventory.com),All New Aston Martin Vantage,"Lease A New Vantage for $1,299",Aston Martin Newport Beach,"Lease an all new Aston Martin Vantage for $1,299 a month from Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
251,568-744-5298,368,1.07,0.071,3.85%,Aston Martin Brand,The New Aston Martin Vantage,"Lease for $1,673",Aston Martin Newport Beach,"Lease an all new Aston Martin Vantage for $1,673 a month from Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
444,568-744-5298,256,3.03,0.07,0.00%,Vantage,2019 Aston Martin Vantage,"Lease A Vantage for $1,275",Aston Martin Newport Beach,"Lease a 2019 Vantage Coupe for $1,275 a month from Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
245,568-744-5298,3501,1.91,0.069,0.00%,Aston Martin Brand,The New Aston Martin Vantage,"Lease For $1,299",Aston Martin Newport Beach,"Lease an all new Aston Martin Vantage for $1,299 from Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
422,568-744-5298,486,3.01,0.066,0.00%,Aston Martin Brand (newportbeach.astonmartininventory.com),The New Aston Martin Vantage,"Lease For $1,299",Aston Martin Newport Beach,"Lease an all new Aston Martin Vantage for $1,299 a month from Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
243,568-744-5298,660,2.58,0.053,0.00%,Aston Martin Brand,AstonMartinNewportBeach.com,Aston Martin Vantage,3 Months Off New Lease,"Starting At $1,299/Mo + Tax For 36 Months. $15,000 Down & Get 3 Months Off, Up To $6,000","Learn More About The World-Renowned Design, Agile Performance and Craftsmanship."
456,568-744-5298,370,3.95,0.051,0.00%,Aston Martin Brand (newportbeach.astonmartininventory.com),The New Aston Martin Vantage,"Lease For $1,299",Aston Martin Newport Beach,"Lease an all new Aston Martin Vantage for $1,299 a month from Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
379,568-744-5298,279,2.09,0.05,0.00%,Lamborghini (newportbeach.astonmartininventory.com),All New Aston Martin Vantage,"Lease A New Vantage for $1,299",Aston Martin Newport Beach,"Lease an all new Aston Martin Vantage for $1,299 a month from Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
450,568-744-5298,320,2.69,0.05,0.00%,DBS,Aston Martin DBS Superleggera,View Photos & Details,Aston Martin Newport Beach,Lease an all new 2019 Aston Martin DBS Superleggera from Aston Martin Newport Beach,Home to one of the most exclusive collections of new Aston Martins in the world.
301,568-744-5298,234,2.34,0.047,0.00%,Lamborghini,2019 Aston Martin Vantage,"Lease A Vantage for $1,299",Aston Martin Newport Beach,"Lease a 2019 Vantage Coupe for $1,299 a month from Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
284,568-744-5298,248,1.81,0.04,0.00%,Lamborghini,All New Aston Martin DB11,"Lease For $2,399",Aston Martin Newport Beach,"Lease an all new Aston Martin DB11 for $2,399 a month from Aston Martin Newport Beach.",Home to one of the most exclusive collections of new Aston Martins in the world.
292,568-744-5298,4380,1.96,0.04,0.00%,Lamborghini,The New Aston Martin Vantage,"Lease For $1,299",Aston Martin Newport Beach,"Lease an all new Aston Martin Vantage for $1,299 a month from Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
188,568-744-5298,405,2.47,0.04,0.00%,Bentley,Aston Martin DB11 Coupe,"Lease All New DB11 for $1,499",Aston Martin Newport Beach,"Lease an all new Aston Martin DB11 for $1,499 a month from Aston Martin Newport Beach.",Home to one of the most exclusive collections of new Aston Martins in the world.
288,568-744-5298,305,2.26,0.039,0.00%,Lamborghini,The New Aston Martin Vantage,"Lease For $1,399",Aston Martin Newport Beach,"Lease an all new Aston Martin Vantage for $1,399 a month from Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
380,568-744-5298,344,2.17,0.038,0.00%,Lamborghini (newportbeach.astonmartininventory.com),All New Aston Martin DB11,"Lease For $2,899",Aston Martin Newport Beach,"Lease an all new Aston Martin DB11 for $2,899 a month from Aston Martin Newport Beach.",Home to one of the most exclusive collections of new Aston Martins in the world.
186,568-744-5298,727,2.88,0.038,0.00%,Bentley,All New Aston Martin DB11,"Lease For $1,499",Aston Martin Newport Beach,"Lease an all new Aston Martin DB11 for $1,499 a month from Aston Martin Newport Beach.",Home to one of the most exclusive collections of new Aston Martins in the world.
283,568-744-5298,549,1.87,0.038,0.00%,Lamborghini,All New Aston Martin DB11,"Lease For $2,899",Aston Martin Newport Beach,"Lease an all new Aston Martin DB11 AMR for $2,899 a month from Aston Martin Newport Beach.",Home to one of the most exclusive collections of new Aston Martins in the world.
187,568-744-5298,252,2.1,0.036,0.00%,Bentley,All New Aston Martin DB11,"Lease For $2,399",Aston Martin Newport Beach,"Lease an all new Aston Martin DB11 for $2,399 a month from Aston Martin Newport Beach.",Home to one of the most exclusive collections of new Aston Martins in the world.
367,568-744-5298,253,2.22,0.036,0.00%,Bentley (newportbeach.astonmartininventory.com),All New Aston Martin DB11,"Lease For $1,899",Aston Martin Newport Beach,"Lease an all new Aston Martin DB11 for $1,899 a month from Aston Martin Newport Beach.",Home to one of the most exclusive collections of new Aston Martins in the world.
343,568-744-5298,271,2.24,0.033,0.00%,Mercedes (newportbeach.astonmartininventory.com),The New Aston Martin Vantage,"Lease For $1,299",Aston Martin Newport Beach,"Lease an all new Aston Martin Vantage for $1,299 a month from Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
231,568-744-5298,249,2.12,0.032,0.00%,Porsche 911,2019 Aston Martin Vantage,"Lease A Vantage for $1,299",Aston Martin Newport Beach,"Lease a 2019 Vantage Coupe for $1,299 a month from Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
287,568-744-5298,1117,2.59,0.032,0.00%,Lamborghini,All New Aston Martin DB11,"Lease For $1,499",Aston Martin Newport Beach,"Lease an all new 2019 DB11 Coupe for $1,499 a month from Aston Martin Newport Beach.",Home to one of the most exclusive collections of new Aston Martins in the world.
368,568-744-5298,705,2.27,0.03,0.00%,Bentley (newportbeach.astonmartininventory.com),All New Aston Martin DB11,"Lease For $2,399",Aston Martin Newport Beach,"Lease an all new Aston Martin DB11 for $2,399 a month from Aston Martin Newport Beach.",Home to one of the most exclusive collections of new Aston Martins in the world.
185,568-744-5298,2453,2.73,0.03,0.00%,Bentley,All New Aston Martin DB11,"Lease For $1,899",Aston Martin Newport Beach,"Lease an all new Aston Martin DB11 for $1,899 a month from Aston Martin Newport Beach.",Home to one of the most exclusive collections of new Aston Martins in the world.
290,568-744-5298,813,2.0,0.03,0.00%,Lamborghini,All New Aston Martin DB11,"Lease For $1,899",Aston Martin Newport Beach,"Lease an all new Aston Martin DB11 for $1,899 a month from Aston Martin Newport Beach.",Home to one of the most exclusive collections of new Aston Martins in the world.
358,568-744-5298,306,2.39,0.029,0.00%,Bentley (newportbeach.astonmartininventory.com),Aston Martin DB11 AMR,"Lease All New DB11 for $2,899",Aston Martin Newport Beach,"Lease an all new Aston Martin DB11 AMR for $2,899 a month from Aston Martin Newport Beach.",Home to one of the most exclusive collections of new Aston Martins in the world.
378,568-744-5298,1906,2.23,0.029,0.00%,Lamborghini (newportbeach.astonmartininventory.com),All New Aston Martin DB11,"Lease For $2,899",Aston Martin Newport Beach,"Lease an all new Aston Martin DB11 AMR for $2,899 a month from Aston Martin Newport Beach.",Home to one of the most exclusive collections of new Aston Martins in the world.
174,568-744-5298,489,2.25,0.029,0.00%,McLaren,Aston Martin DBS Superleggera,Lease A New DBS,Aston Martin Newport Beach,Lease an all new Aston Martin DBS Superleggera from Aston Martin Newport Beach,Home to one of the most exclusive collections of new Aston Martins in the world.
342,568-744-5298,255,2.43,0.028,0.00%,Mercedes (newportbeach.astonmartininventory.com),The New Aston Martin Vantage,"Lease For $1,299",Aston Martin Newport Beach,"Lease an all new Aston Martin Vantage for $1,299 a month from Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
372,568-744-5298,538,1.81,0.028,0.00%,Bentley (newportbeach.astonmartininventory.com),All New Aston Martin DB11,"Lease For $2,899",Aston Martin Newport Beach,"Lease an all new Aston Martin DB11 AMR for $2,899 a month from Aston Martin Newport Beach.",Home to one of the most exclusive collections of new Aston Martins in the world.
348,568-744-5298,221,3.31,0.027,0.00%,Porsche 911 (newportbeach.astonmartininventory.com),The New Aston Martin Vantage,"Lease For $1,299",Aston Martin Newport Beach,"Lease an all new Aston Martin Vantage for $1,299 a month from Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
228,568-744-5298,423,2.83,0.026,0.00%,Porsche 911,The New Aston Martin Vantage,"Lease for $1,673",Aston Martin Newport Beach,"Lease an all new Aston Martin Vantage for $1,673 a month from Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
347,568-744-5298,766,2.4,0.025,0.00%,Porsche 911 (newportbeach.astonmartininventory.com),The New Aston Martin Vantage,"Lease For $1,299",Aston Martin Newport Beach,"Lease an all new Aston Martin Vantage for $1,299 a month from Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
383,568-744-5298,1183,2.61,0.024,0.00%,Lamborghini (newportbeach.astonmartininventory.com),All New Aston Martin DB11,"Lease For $2,399",Aston Martin Newport Beach,"Lease an all new Aston Martin DB11 for $2,399 a month from Aston Martin Newport Beach.",Home to one of the most exclusive collections of new Aston Martins in the world.
298,568-744-5298,621,2.27,0.022,0.00%,Lamborghini,Aston Martin Rapide,Lease A New 2019 Rapide AMR,Aston Martin Newport Beach,Lease an all new 2019 Aston Martin Rapide AMR Sedan from Aston Martin Newport Beach,Home to one of the most exclusive collections of new Aston Martins in the world.
281,568-744-5298,3131,1.87,0.022,0.00%,Lamborghini,Aston Martin DBS Superleggera,View Photos & Details,Aston Martin Newport Beach,Lease an all new 2019 Aston Martin DBS Superleggera from Aston Martin Newport Beach,Home to one of the most exclusive collections of new Aston Martins in the world.
184,568-744-5298,1342,2.08,0.022,6.90%,Bentley,Aston Martin DB11,"Lease All New DB11 for $1,899",Aston Martin Newport Beach,"Lease an all new Aston Martin DB11 V8 for $1,899 a month from Aston Martin Newport Beach.",Home to one of the most exclusive collections of new Aston Martins in the world.
176,568-744-5298,4004,2.8,0.021,0.00%,McLaren,Aston Martin DBS Superleggera,View Photos & Details,Aston Martin Newport Beach,Lease an all new 2019 Aston Martin DBS Superleggera from Aston Martin Newport Beach,Home to one of the most exclusive collections of new Aston Martins in the world.
191,568-744-5298,383,1.86,0.021,0.00%,Bentley,All New Aston Martin DB11,"Lease For $2,899",Aston Martin Newport Beach,"Lease an all new Aston Martin DB11 for $2,899 a month from Aston Martin Newport Beach.",Home to one of the most exclusive collections of new Aston Martins in the world.
293,568-744-5298,5756,1.97,0.02,0.00%,Lamborghini,Aston Martin DBS Superleggera,View Photos & Details,Aston Martin Newport Beach,Lease an all new Aston Martin DBS Superleggera from Aston Martin Newport Beach,Home to one of the most exclusive collections of new Aston Martins in the world.
382,568-744-5298,202,1.59,0.02,0.00%,Lamborghini (newportbeach.astonmartininventory.com),All New Aston Martin DB11,"Lease For $1,899",Aston Martin Newport Beach,"Lease an all new Aston Martin DB11 for $1,899 a month from Aston Martin Newport Beach.",Home to one of the most exclusive collections of new Aston Martins in the world.
340,568-744-5298,211,2.76,0.019,0.00%,Mercedes (newportbeach.astonmartininventory.com),Aston Martin Vantage,"Lease The New Vantage, $1,299",Aston Martin Newport Beach,"Lease an all new Aston Martin Vantage for $1,299 a month from Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
296,568-744-5298,540,3.45,0.017,0.00%,Lamborghini,All New Aston Martin DB11,"Lease For $2,799",Aston Martin Newport Beach,"Lease an all new Aston Martin DB11 AMR for $2,799 a month from Aston Martin Newport Beach.",Home to one of the most exclusive collections of new Aston Martins in the world.
179,568-744-5298,2193,2.56,0.017,0.00%,McLaren,Aston Martin DBS Superleggera,View Photos & Details,Aston Martin Newport Beach,Lease an all new 2019 Aston Martin DBS Superleggera from Aston Martin Newport Beach,Home to one of the most exclusive collections of new Aston Martins in the world.
178,568-744-5298,325,2.72,0.015,0.00%,McLaren,Aston Martin DBS Superleggera,Lease The All New DBS,Aston Martin Newport Beach,Lease an all new 2019 Aston Martin DBS Superleggera from Aston Martin Newport Beach,Home to one of the most exclusive collections of new Aston Martins in the world.
175,568-744-5298,339,2.17,0.015,0.00%,McLaren,Aston Martin DBS Superleggera,Lease The All New DBS,Aston Martin Newport Beach,Lease an all new Aston Martin DBS Superleggera from Aston Martin Newport Beach,Home to one of the most exclusive collections of new Aston Martins in the world.
366,568-744-5298,518,2.18,0.015,0.00%,Bentley (newportbeach.astonmartininventory.com),Aston Martin DB11 V8 Coupe,"Lease The All New DB11, $1,899",Aston Martin Newport Beach,"Lease an all new Aston Martin DB11 V8 for $1,899 a month. Visit Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
412,568-744-5298,831,3.05,0.013,0.00%,Rapide,Aston Martin Rapide,Lease A New 2019 Rapide AMR,Aston Martin Newport Beach,Lease an all new 2019 Aston Martin Rapide AMR Sedan from Aston Martin Newport Beach,Home to one of the most exclusive collections of new Aston Martins in the world.
365,568-744-5298,436,2.34,0.012,0.00%,Bentley (newportbeach.astonmartininventory.com),Aston Martin DB11 Volante,"Lease The All New DB11, $2,399",Aston Martin Newport Beach,"Lease an all new Aston Martin DB11 V8 for $2,399 a month. Visit Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
183,568-744-5298,1755,3.0,0.01,0.00%,Bentley,Aston Martin DB11,"Lease The All New DB11, $1,899",Aston Martin Newport Beach,"Lease an all new Aston Martin DB11 V8 for $1,899 a month. Visit Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
389,568-744-5298,221,1.95,0.009,0.00%,BMW (newportbeach.astonmartininventory.com),The New Aston Martin Vantage,"Lease For $1,299",Aston Martin Newport Beach,"Lease an all new Aston Martin Vantage for $1,299 a month from Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
220,568-744-5298,257,2.08,0.008,0.00%,Porsche 911,The New Aston Martin Vantage,"Lease For $1,399",Aston Martin Newport Beach,"Lease an all new Aston Martin Vantage for $1,399 a month from Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
341,568-744-5298,604,3.09,0.008,0.00%,Mercedes (newportbeach.astonmartininventory.com),Aston Martin Vantage Coupe,"Lease The New Vantage, $1,299",Aston Martin Newport Beach,"Lease an all new Aston Martin Vantage for $1,299 a month from Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
415,568-744-5298,2828,2.91,0.007,0.00%,Rapide,Aston Martin Rapide AMR,View Photos & Details,Aston Martin Newport Beach,Lease an all new 2019 Rapide AMR Sedan from Aston Martin Newport Beach,Home to one of the most exclusive collections of new Aston Martins in the world.
362,568-744-5298,271,1.7,0.007,0.00%,Bentley (newportbeach.astonmartininventory.com),Aston Martin DB11,"Lease All New DB11 for $2,399",Aston Martin Newport Beach,"Lease a new Aston Martin DB11 Volante for $2,399 a month from Aston Martin Newport Beach.",Home to one of the most exclusive collections of new Aston Martins in the world.
218,568-744-5298,3166,2.17,0.006,0.00%,Porsche 911,The New Aston Martin Vantage,"Lease For $1,299",Aston Martin Newport Beach,"Lease an all new Aston Martin Vantage for $1,299 a month from Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
204,568-744-5298,227,2.78,0.004,0.00%,Bentley,Aston Martin DB11 AMR,"Lease The All New DB11, $2,799",Aston Martin Newport Beach,"Lease an all new Aston Martin DB11 for $2,799 a month. Visit Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
196,568-744-5298,514,3.02,0.002,0.00%,Bentley,Aston Martin DB11 AMR,"Lease All New DB11 for $2,899",Aston Martin Newport Beach,"Lease an all new Aston Martin DB11 AMR for $2,899 a month from Aston Martin Newport Beach.",Home to one of the most exclusive collections of new Aston Martins in the world.
217,568-744-5298,813,1.58,0.001,0.00%,Porsche 911,Aston Martin Vantage,"Lease The New Vantage, $1,299",Aston Martin Newport Beach,"Lease an all new Aston Martin Vantage for $1,299 a month from Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
346,568-744-5298,770,1.89,0.001,0.00%,Porsche 911 (newportbeach.astonmartininventory.com),Aston Martin Vantage Coupe,"Lease The New Vantage, $1,299",Aston Martin Newport Beach,"Lease an all new Aston Martin Vantage for $1,299 a month from Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
385,568-744-5298,375,0.0,0.0,0.00%,BMW (newportbeach.astonmartininventory.com),Aston Martin Vantage Coupe,"Lease The New Vantage, $1,299",Aston Martin Newport Beach,"Lease an all new Aston Martin Vantage for $1,299 a month from Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
221,568-744-5298,242,0.0,0.0,0.00%,Porsche 911,Aston Martin Vantage,"Lease The New Vantage, $1,399",Aston Martin Newport Beach,"Lease an all new Aston Martin Vantage for $1,399 a month from Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
229,568-744-5298,386,0.0,0.0,0.00%,Porsche 911,Aston Martin Vantage,"Lease The New Vantage, $1,673",Aston Martin Newport Beach,"Lease an all new 2019 Vantage Coupe for $1,673 a month from Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
414,568-744-5298,343,0.0,0.0,0.00%,Rapide,Aston Martin Rapide AMR,View Photos & Details,Aston Martin Newport Beach,Lease an all new 2019 Aston Martin Rapide from Aston Martin Newport Beach,Home to one of the most exclusive collections of new Aston Martins in the world.
